row,name,code,tweet,follow
158,昊志机电,300503,4144.0,7238.0
159,新易盛,300502,3464.0,7162.0
160,海顺新材,300501,3382.0,28419.0
161,启迪设计,300500,2021.0,10841.0
162,高澜股份,300499,3578.0,6282.0
163,温氏股份,300498,7183.0,21293.0
164,富祥股份,300497,3181.0,63816.0
165,中科创达,300496,18365.0,173271.0
166,美尚生态,300495,2547.0,95546.0
167,盛天网络,300494,3729.0,59374.0
168,润欣科技,300493,3598.0,44562.0
169,山鼎设计,300492,1510.0,41026.0
170,通合科技,300491,7454.0,109621.0
171,华自科技,300490,2184.0,65833.0
172,中飞股份,300489,3589.0,16319.0
173,恒锋工具,300488,1429.0,13503.0
174,蓝晓科技,300487,2614.0,14389.0
175,东杰智能,300486,3858.0,16291.0
176,赛升药业,300485,3521.0,11486.0
177,蓝海华腾,300484,7366.0,48123.0
178,沃施股份,300483,1481.0,9260.0
179,万孚生物,300482,12136.0,31881.0
180,濮阳惠成,300481,6443.0,23945.0
181,光力科技,300480,7470.0,15471.0
182,神思电子,300479,5983.0,16275.0
183,杭州高新,300478,1415.0,5547.0
184,合纵科技,300477,1990.0,7392.0
185,胜宏科技,300476,2655.0,11678.0
186,聚隆科技,300475,1663.0,8151.0
187,景嘉微,300474,4667.0,51194.0
188,德尔股份,300473,1780.0,8273.0
189,新元科技,300472,1061.0,8253.0
190,厚普股份,300471,2775.0,8055.0
191,日机密封,300470,1856.0,6372.0
192,信息发展,300469,9746.0,25059.0
193,四方精创,300468,4069.0,10309.0
194,迅游科技,300467,6330.0,12886.0
195,赛摩电气,300466,5447.0,36069.0
196,高伟达,300465,10182.0,22062.0
197,星徽精密,300464,2682.0,8435.0
198,迈克生物,300463,5187.0,18189.0
199,华铭智能,300462,2219.0,9419.0
200,田中精机,300461,2786.0,9547.0
201,惠伦晶体,300460,1453.0,6248.0
202,金科娱乐,300459,7156.0,21903.0
203,全志科技,300458,9200.0,27654.0
204,赢合科技,300457,5094.0,15461.0
205,耐威科技,300456,2413.0,7406.0
206,康拓红外,300455,1648.0,6931.0
207,三鑫医疗,300453,1919.0,6561.0
208,山河药辅,300452,5704.0,17101.0
209,创业软件,300451,6792.0,21373.0
210,先导智能,300450,11864.0,32176.0
211,汉邦高科,300449,2398.0,5565.0
212,浩云科技,300448,2842.0,6154.0
213,全信股份,300447,2526.0,5691.0
214,乐凯新材,300446,4475.0,10256.0
215,康斯特,300445,2217.0,6117.0
216,双杰电气,300444,3405.0,7821.0
217,金雷风电,300443,2987.0,11954.0
218,普丽盛,300442,2313.0,4818.0
219,鲍斯股份,300441,3940.0,6674.0
220,运达科技,300440,3387.0,10704.0
221,美康生物,300439,6310.0,39666.0
222,鹏辉能源,300438,3727.0,8035.0
223,清水源,300437,3580.0,8370.0
224,广生堂,300436,5429.0,9663.0
225,中泰股份,300435,1769.0,4017.0
226,金石东方,300434,1941.0,4671.0
227,蓝思科技,300433,7652.0,23497.0
228,富临精工,300432,3990.0,10654.0
229,暴风集团,300431,45233.0,191516.0
230,诚益通,300430,3978.0,6555.0
231,强力新材,300429,2776.0,8471.0
232,四通新材,300428,3092.0,7529.0
233,红相电力,300427,3953.0,10094.0
234,唐德影视,300426,7021.0,15689.0
235,环能科技,300425,8009.0,13336.0
236,航新科技,300424,3026.0,6752.0
237,鲁亿通,300423,1533.0,3979.0
238,博世科,300422,6924.0,21898.0
239,力星股份,300421,1344.0,3846.0
240,五洋科技,300420,4040.0,7297.0
241,浩丰科技,300419,3718.0,7943.0
242,昆仑万维,300418,14716.0,30604.0
243,南华仪器,300417,3023.0,5362.0
244,苏试试验,300416,2978.0,9792.0
245,伊之密,300415,3545.0,13210.0
246,中光防雷,300414,2327.0,7347.0
247,快乐购,300413,7141.0,12634.0
248,迦南科技,300412,3216.0,10061.0
249,金盾股份,300411,2218.0,4652.0
250,正业科技,300410,2674.0,6274.0
251,道氏技术,300409,3371.0,18506.0
252,三环集团,300408,2879.0,23788.0
253,凯发电气,300407,3421.0,11127.0
254,九强生物,300406,3353.0,12967.0
255,科隆股份,300405,1342.0,4865.0
256,博济医药,300404,3962.0,10154.0
257,地尔汉宇,300403,3212.0,9517.0
258,宝色股份,300402,2996.0,8162.0
259,花园生物,300401,4872.0,12473.0
260,劲拓股份,300400,3311.0,10722.0
261,京天利,300399,5295.0,9482.0
262,飞凯材料,300398,5076.0,20641.0
263,天和防务,300397,6233.0,63849.0
264,迪瑞医疗,300396,4208.0,15212.0
265,菲利华,300395,3823.0,11921.0
266,天孚通信,300394,2626.0,7859.0
267,中来股份,300393,2129.0,7600.0
268,腾信股份,300392,4797.0,39829.0
269,康跃科技,300391,1580.0,9573.0
270,天华超净,300390,2070.0,5887.0
271,艾比森,300389,3501.0,5794.0
272,国祯环保,300388,3492.0,8603.0
273,富邦股份,300387,1101.0,3243.0
274,飞天诚信,300386,7011.0,23364.0
275,雪浪环境,300385,2852.0,8101.0
276,三联虹普,300384,2819.0,9893.0
277,光环新网,300383,10077.0,30069.0
278,斯莱克,300382,1778.0,6629.0
279,溢多利,300381,3914.0,8144.0
280,安硕信息,300380,10881.0,20862.0
281,东方通,300379,5997.0,14925.0
282,鼎捷软件,300378,3042.0,7447.0
283,赢时胜,300377,11772.0,189030.0
284,易事特,300376,10076.0,62595.0
285,鹏翎股份,300375,1194.0,9644.0
286,恒通科技,300374,3611.0,7123.0
287,扬杰科技,300373,2709.0,9430.0
288,欣泰电气,300372,10036.0,8053.0
289,汇中股份,300371,2156.0,4993.0
290,安控科技,300370,2273.0,5404.0
291,绿盟科技,300369,8409.0,22368.0
292,汇金股份,300368,8216.0,15128.0
293,东方网力,300367,5191.0,24769.0
294,创意信息,300366,4002.0,8734.0
295,恒华科技,300365,1776.0,9490.0
296,中文在线,300364,16837.0,25700.0
297,博腾股份,300363,4979.0,18567.0
298,天翔环境,300362,3225.0,9080.0
299,炬华科技,300360,1510.0,4473.0
300,全通教育,300359,22849.0,34209.0
301,楚天科技,300358,3620.0,10703.0
302,我武生物,300357,8786.0,25525.0
303,光一科技,300356,2126.0,7305.0
304,蒙草生态,300355,11454.0,29326.0
305,东华测试,300354,1578.0,6747.0
306,东土科技,300353,4891.0,17554.0
307,北信源,300352,5678.0,13458.0
308,永贵电器,300351,3214.0,16245.0
309,华鹏飞,300350,5782.0,13204.0
310,金卡智能,300349,3465.0,11338.0
311,长亮科技,300348,5496.0,15234.0
312,泰格医药,300347,9778.0,36227.0
313,南大光电,300346,3514.0,9828.0
314,红宇新材,300345,4871.0,11138.0
315,太空板业,300344,5361.0,12181.0
316,联创互联,300343,3553.0,6449.0
317,天银机电,300342,2485.0,13533.0
318,麦迪电气,300341,1548.0,9239.0
319,科恒股份,300340,7045.0,14872.0
320,润和软件,300339,13575.0,24818.0
321,开元股份,300338,2395.0,9335.0
322,银邦股份,300337,3360.0,8023.0
323,新文化,300336,6025.0,16569.0
324,迪森股份,300335,1915.0,9552.0
325,津膜科技,300334,5873.0,13749.0
326,兆日科技,300333,5880.0,30699.0
